Date,Open,High,Low,Close,Adj Close,Volume
03/11/2016,5.9,5.9,5.84,5.85,5.85,713013
04/11/2016,5.85,5.86,5.81,5.81,5.81,369817
07/11/2016,5.8,5.85,5.79,5.79,5.79,686040
08/11/2016,5.81,5.92,5.81,5.92,5.92,735086
09/11/2016,5.92,5.92,5.84,5.84,5.84,344354
10/11/2016,5.87,5.91,5.87,5.91,5.91,652626
11/11/2016,5.92,5.93,5.89,5.89,5.89,421803
14/11/2016,5.9,5.92,5.88,5.88,5.88,547615
15/11/2016,5.91,5.91,5.88,5.91,5.91,688922
16/11/2016,5.91,5.93,5.91,5.93,5.93,926310
17/11/2016,5.93,5.94,5.91,5.91,5.91,527070
18/11/2016,5.93,5.94,5.9,5.9,5.9,1000879
21/11/2016,5.89,5.9,5.87,5.88,5.88,1118424
22/11/2016,5.9,5.91,5.88,5.9,5.9,1082847
23/11/2016,5.91,5.91,5.89,5.89,5.89,633488
24/11/2016,5.91,5.91,5.89,5.91,5.91,1306879
25/11/2016,5.91,5.91,5.9,5.9,5.9,712989
28/11/2016,5.91,5.92,5.89,5.9,5.9,976101
29/11/2016,5.9,5.91,5.89,5.9,5.9,1144636
30/11/2016,5.91,5.94,5.91,5.93,5.93,963026
01/12/2016,5.93,5.93,5.9,5.9,5.9,630087
02/12/2016,5.91,5.92,5.9,5.9,5.9,279419
05/12/2016,5.9,5.94,5.9,5.94,5.94,711840
06/12/2016,5.95,5.95,5.93,5.95,5.95,365141
07/12/2016,5.95,5.95,5.93,5.93,5.93,399624
08/12/2016,5.93,5.94,5.92,5.93,5.93,471788
09/12/2016,5.93,5.93,5.91,5.93,5.93,212871
12/12/2016,5.92,5.94,5.92,5.94,5.94,323410
13/12/2016,5.94,5.95,5.94,5.95,5.95,289007
14/12/2016,5.95,5.96,5.94,5.94,5.94,477351
15/12/2016,5.93,5.94,5.92,5.92,5.92,153825
16/12/2016,5.92,5.94,5.92,5.94,5.94,248064
19/12/2016,5.95,5.96,5.95,5.95,5.95,368424
20/12/2016,5.95,5.96,5.95,5.96,5.96,321634
21/12/2016,5.96,5.97,5.96,5.97,5.97,601193
22/12/2016,5.97,6,5.97,6,6,986472
23/12/2016,6,6.01,5.97,6,6,455055
27/12/2016,6,6.01,5.97,6,6,455055
28/12/2016,6,6.01,5.98,5.98,5.98,262602
29/12/2016,6,6,5.98,5.98,5.98,242654
30/12/2016,5.99,6,5.98,6,6,86548
04/01/2017,6,6.02,6,6.02,6.02,257426
05/01/2017,6.02,6.04,6.02,6.03,6.03,349964
06/01/2017,6.03,6.06,6.03,6.06,6.06,190066
09/01/2017,6.07,6.1,6.07,6.1,6.1,347401
10/01/2017,6.1,6.11,6.09,6.11,6.11,693087
11/01/2017,6.11,6.15,6.1,6.15,6.15,586405
12/01/2017,6.15,6.29,6.15,6.2,6.2,499875
13/01/2017,6.21,6.22,6.19,6.19,6.19,313962
16/01/2017,6.17,6.19,6.17,6.19,6.19,30486
17/01/2017,6.18,6.21,6.17,6.21,6.21,132301
18/01/2017,6.22,6.24,6.22,6.24,6.24,164481
19/01/2017,6.24,6.25,6.24,6.25,6.25,15730
20/01/2017,6.25,6.27,6.24,6.26,6.26,1863996
23/01/2017,6.26,6.27,6.25,6.27,6.27,235803
24/01/2017,6.26,6.27,6.26,6.26,6.26,43780
25/01/2017,6.27,6.27,6.27,6.27,6.27,168501
26/01/2017,6.28,6.28,6.28,6.28,6.28,383867
27/01/2017,6.28,6.28,6.26,6.26,6.26,57643
30/01/2017,6.26,6.26,6.21,6.21,6.21,1259
31/01/2017,6.19,6.22,6.19,6.2,6.2,34923
01/02/2017,6.2,6.2,6.19,6.19,6.19,45112
02/02/2017,6.18,6.19,6.18,6.18,6.18,23584
03/02/2017,6.18,6.18,6.17,6.17,6.17,76660
07/02/2017,6.16,6.16,6.13,6.13,6.13,116181
08/02/2017,6.1,6.15,6.1,6.15,6.15,216734
09/02/2017,6.14,6.2,6.14,6.2,6.2,153738
10/02/2017,6.22,6.28,6.22,6.28,6.28,102694
13/02/2017,6.28,6.28,6.27,6.27,6.27,76150
14/02/2017,6.27,6.27,6.22,6.22,6.22,36470
15/02/2017,6.2,6.2,6.2,6.2,6.2,2546
16/02/2017,6.19,6.22,6.19,6.22,6.22,55160
17/02/2017,6.23,6.26,6.23,6.26,6.26,83290
20/02/2017,6.26,6.32,6.26,6.32,6.32,487311
21/02/2017,6.33,6.39,6.33,6.37,6.37,226928
22/02/2017,6.37,6.37,6.35,6.37,6.37,85614
23/02/2017,6.36,6.36,6.34,6.35,6.35,51814
24/02/2017,6.32,6.35,6.32,6.35,6.35,88407
27/02/2017,6.36,6.36,6.34,6.34,6.34,42000
28/02/2017,6.32,6.38,6.32,6.38,6.38,170797
01/03/2017,6.35,6.37,6.35,6.35,6.35,68948
02/03/2017,6.34,6.35,6.23,6.23,6.23,13710
03/03/2017,6.24,6.25,6.24,6.25,6.25,32614
06/03/2017,6.26,6.29,6.26,6.29,6.29,50524
07/03/2017,6.27,6.29,6.27,6.29,6.29,133419
08/03/2017,6.3,6.3,6.28,6.3,6.3,132955
09/03/2017,6.26,6.29,6.26,6.29,6.29,69066
10/03/2017,6.28,6.29,6.27,6.29,6.29,88445
13/03/2017,6.28,6.3,6.28,6.3,6.3,72817
14/03/2017,6.3,6.35,6.3,6.35,6.35,46417
15/03/2017,6.32,6.35,6.32,6.35,6.35,23102
16/03/2017,6.34,6.35,6.32,6.32,6.32,50311
17/03/2017,6.31,6.35,6.31,6.33,6.33,66043
20/03/2017,6.33,6.34,6.3,6.32,6.32,60865
21/03/2017,6.3,6.3,6.21,6.22,6.22,62384
22/03/2017,6.25,6.26,6.19,6.19,6.19,220838
23/03/2017,6.2,6.2,6.17,6.17,6.17,59241
24/03/2017,6.2,6.2,6.15,6.15,6.15,172812
27/03/2017,6.15,6.15,6.08,6.08,6.08,209266
28/03/2017,6.08,6.11,6.07,6.1,6.1,358721
29/03/2017,6.12,6.12,6.08,6.08,6.08,410020
30/03/2017,6.11,6.11,6.06,6.06,6.06,332984
31/03/2017,6.11,6.11,6.06,6.06,6.06,152153
03/04/2017,6.09,6.11,6.07,6.11,6.11,63935
04/04/2017,5.97,6.06,5.97,6.06,6.06,81810
05/04/2017,6.05,6.1,6.03,6.1,6.1,89589
06/04/2017,6.05,6.09,6.05,6.09,6.09,4328
07/04/2017,6.07,6.07,6.05,6.05,6.05,20005
10/04/2017,6.05,6.09,6.05,6.09,6.09,5100
11/04/2017,6.07,6.07,6.07,6.07,6.07,9226
12/04/2017,6.09,6.09,6.01,6.01,6.01,68253
13/04/2017,6.03,6.05,6.03,6.04,6.04,32106
18/04/2017,6,6.05,6,6.04,6.04,99470
19/04/2017,6.04,6.04,6.02,6.04,6.04,69008
20/04/2017,6.04,6.06,6.04,6.06,6.06,47712
21/04/2017,6.08,6.08,6.07,6.07,6.07,15265
